127.0.0.1 - - [22/Nov/2021:16:35:17 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:18 +0900] "GET /partycode/WEB-INF/views/main.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/ HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/css/main2.css HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/css/main.css HTTP/1.1" 200 6764
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/js/main2.js HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/js/main.js HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/css/bootstrap.css HTTP/1.1" 200 146900
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/js/bootstrap.js HTTP/1.1" 200 69038
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:24 +0900] "GET /partycode/resources/js/jqueryIMPORTANT.js HTTP/1.1" 200 84359
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:35:25 +0900] "GET /partycode/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:11 +0900] "GET /partycode/WEB-INF/views/main.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/ HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/css/bootstrap.css HTTP/1.1" 200 146900
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/js/main2.js HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/js/main.js HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/js/jqueryIMPORTANT.js HTTP/1.1" 200 84359
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/css/main.css HTTP/1.1" 200 6764
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/js/bootstrap.js HTTP/1.1" 200 69038
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:14 +0900] "GET /partycode/resources/css/main2.css HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/resources/css/party_board.css HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/partyboard/party_board HTTP/1.1" 200 40679
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/resources/js/jquery.js HTTP/1.1" 200 299461
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/resources/css/footer.css HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/resources/img/now.png HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:20 +0900] "GET /partycode/resources/img/like3.png HTTP/1.1" 200 8441
0:0:0:0:0:0:0:1 - - [22/Nov/2021:16:36:21 +0900] "GET /partycode/resources/img/user.png HTTP/1.1" 200 523
